AMAZONAS,ANCASH,APURIMAC,AREQUIPA,AYACUCHO,CAJAMARCA,CALLAO,CUSCO,EXTRANJERO,HUANCAVELICA,HUANUCO,ICA,JUNIN,LA LIBERTAD,LAMBAYEQUE,LIMA,LORETO,MADRE DE DIOS,MOQUEGUA,PASCO,PIURA,PUNO,SAN MARTIN,SIN REGISTRO,TACNA,TUMBES,UCAYALI
3.0,19.0,9.0,35.0,7.0,14.0,12.0,18.0,0.0,8.0,9.0,13.0,26.0,31.0,10.0,186.0,13.0,4.0,8.0,5.0,38.0,17.0,11.0,0.0,6.0,1.0,5.0
3.0,19.0,10.0,34.0,10.0,15.0,16.0,12.0,1.0,9.0,9.0,16.0,18.0,30.0,11.0,209.0,12.0,3.0,3.0,5.0,37.0,23.0,15.0,1.0,3.0,4.0,1.0
4.0,33.0,8.0,22.0,9.0,9.0,21.0,26.0,0.0,9.0,16.0,16.0,23.0,30.0,8.0,178.0,9.0,1.0,5.0,1.0,26.0,28.0,11.0,0.0,4.0,9.0,7.0
7.0,27.0,11.0,25.0,5.0,17.0,21.0,24.0,1.0,4.0,14.0,10.0,25.0,29.0,15.0,208.0,7.0,3.0,7.0,5.0,39.0,24.0,10.0,1.0,4.0,2.0,7.0
1.0,25.0,12.0,35.0,7.0,20.0,13.0,19.0,0.0,7.0,10.0,21.0,26.0,30.0,11.0,184.0,12.0,2.0,2.0,11.0,29.0,24.0,5.0,1.0,3.0,5.0,5.0
4.0,19.0,9.0,19.0,12.0,21.0,27.0,15.0,1.0,6.0,22.0,22.0,22.0,30.0,9.0,168.0,12.0,3.0,6.0,5.0,29.0,29.0,9.0,0.0,2.0,2.0,8.0
0.0,26.0,8.0,23.0,6.0,16.0,25.0,22.0,0.0,6.0,25.0,23.0,35.0,28.0,6.0,213.0,10.0,2.0,6.0,8.0,34.0,15.0,5.0,2.0,3.0,3.0,4.0
3.0,24.0,15.0,35.0,4.0,13.0,18.0,37.0,0.0,6.0,19.0,27.0,25.0,30.0,12.0,209.0,11.0,4.0,6.0,5.0,31.0,22.0,12.0,0.0,4.0,2.0,5.0
2.0,23.0,13.0,35.0,9.0,12.0,24.0,24.0,1.0,6.0,17.0,17.0,17.0,33.0,8.0,240.0,4.0,1.0,8.0,5.0,35.0,17.0,9.0,0.0,4.0,1.0,11.0
4.0,33.0,8.0,25.0,8.0,14.0,23.0,30.0,0.0,7.0,12.0,18.0,41.0,39.0,15.0,213.0,9.0,3.0,3.0,6.0,34.0,22.0,12.0,0.0,7.0,8.0,5.0
4.0,24.0,8.0,36.0,11.0,21.0,24.0,22.0,1.0,7.0,33.0,13.0,25.0,28.0,11.0,234.0,8.0,5.0,6.0,8.0,46.0,21.0,9.0,2.0,7.0,8.0,4.0
0.0,22.0,7.0,34.0,8.0,12.0,26.0,25.0,0.0,2.0,18.0,22.0,31.0,39.0,12.0,228.0,9.0,0.0,6.0,8.0,50.0,21.0,8.0,1.0,6.0,4.0,5.0
2.0,33.0,10.0,39.0,9.0,14.0,28.0,32.0,1.0,11.0,26.0,29.0,35.0,34.0,11.0,231.0,10.0,1.0,7.0,5.0,29.0,21.0,6.0,0.0,10.0,7.0,6.0
3.0,27.0,8.0,33.0,7.0,15.0,23.0,21.0,0.0,10.0,20.0,17.0,35.0,32.0,14.0,227.0,6.0,1.0,6.0,2.0,33.0,29.0,13.0,0.0,5.0,7.0,6.0
4.0,30.0,7.0,24.0,9.0,19.0,27.0,20.0,0.0,6.0,22.0,18.0,46.0,33.0,10.0,257.0,13.0,0.0,2.0,6.0,34.0,21.0,12.0,2.0,9.0,3.0,7.0
2.0,37.0,12.0,33.0,12.0,16.0,29.0,23.0,1.0,7.0,24.0,33.0,31.0,26.0,8.0,284.0,13.0,4.0,4.0,11.0,26.0,24.0,14.0,0.0,4.0,6.0,7.0
5.0,31.0,13.0,41.0,18.0,18.0,30.0,30.0,0.0,10.0,23.0,23.0,28.0,40.0,10.0,275.0,12.0,4.0,7.0,11.0,60.0,20.0,11.0,0.0,4.0,1.0,6.0
2.0,24.0,14.0,28.0,8.0,15.0,37.0,24.0,1.0,2.0,27.0,28.0,34.0,43.0,15.0,324.0,3.0,5.0,3.0,7.0,38.0,36.0,11.0,1.0,12.0,4.0,4.0
6.0,39.0,20.0,30.0,10.0,26.0,37.0,25.0,2.0,9.0,27.0,35.0,53.0,38.0,11.0,281.0,12.0,2.0,6.0,9.0,34.0,29.0,12.0,1.0,8.0,4.0,5.0
1.0,31.0,9.0,45.0,10.0,13.0,28.0,28.0,0.0,7.0,35.0,18.0,45.0,52.0,10.0,305.0,10.0,5.0,3.0,9.0,32.0,30.0,15.0,1.0,8.0,5.0,8.0
4.0,26.0,12.0,34.0,4.0,15.0,41.0,37.0,0.0,10.0,28.0,35.0,45.0,49.0,10.0,323.0,11.0,2.0,11.0,8.0,39.0,33.0,12.0,0.0,8.0,6.0,11.0
4.0,33.0,13.0,22.0,9.0,18.0,42.0,29.0,1.0,14.0,22.0,31.0,50.0,41.0,8.0,335.0,8.0,2.0,12.0,4.0,30.0,31.0,6.0,2.0,8.0,3.0,7.0
4.0,36.0,12.0,42.0,11.0,19.0,34.0,26.0,3.0,5.0,19.0,38.0,47.0,41.0,12.0,393.0,11.0,4.0,5.0,8.0,43.0,24.0,10.0,0.0,10.0,7.0,8.0
2.0,30.0,6.0,38.0,11.0,17.0,28.0,16.0,2.0,11.0,24.0,30.0,50.0,47.0,14.0,374.0,13.0,4.0,10.0,5.0,45.0,34.0,18.0,1.0,11.0,7.0,7.0
1.0,30.0,11.0,45.0,10.0,17.0,43.0,36.0,1.0,14.0,31.0,42.0,45.0,57.0,13.0,421.0,17.0,2.0,6.0,7.0,38.0,41.0,12.0,0.0,12.0,10.0,9.0
5.0,39.0,8.0,48.0,9.0,12.0,35.0,31.0,1.0,10.0,34.0,50.0,35.0,40.0,14.0,365.0,12.0,3.0,13.0,6.0,37.0,37.0,7.0,0.0,14.0,3.0,7.0
2.0,33.0,14.0,42.0,10.0,21.0,35.0,32.0,1.0,10.0,33.0,40.0,51.0,41.0,16.0,376.0,16.0,1.0,7.0,9.0,34.0,35.0,15.0,2.0,20.0,9.0,10.0
4.0,37.0,13.0,42.0,9.0,22.0,43.0,26.0,1.0,8.0,23.0,51.0,46.0,49.0,12.0,394.0,11.0,1.0,10.0,7.0,49.0,36.0,7.0,3.0,8.0,8.0,9.0
4.0,30.0,8.0,41.0,9.0,14.0,43.0,41.0,3.0,16.0,22.0,45.0,53.0,33.0,14.0,404.0,17.0,2.0,7.0,7.0,40.0,40.0,10.0,4.0,11.0,4.0,9.0
4.0,42.0,9.0,49.0,15.0,16.0,42.0,24.0,0.0,10.0,27.0,50.0,57.0,40.0,17.0,417.0,22.0,3.0,8.0,6.0,39.0,39.0,11.0,1.0,10.0,3.0,6.0
6.0,31.0,16.0,50.0,14.0,17.0,45.0,36.0,4.0,15.0,34.0,49.0,57.0,40.0,12.0,408.0,14.0,4.0,8.0,6.0,48.0,37.0,13.0,1.0,15.0,2.0,8.0
4.0,30.0,12.0,64.0,14.0,20.0,37.0,40.0,3.0,18.0,32.0,44.0,58.0,46.0,14.0,424.0,22.0,1.0,9.0,10.0,33.0,37.0,11.0,0.0,18.0,6.0,7.0
4.0,36.0,6.0,42.0,11.0,27.0,47.0,22.0,3.0,10.0,24.0,47.0,49.0,41.0,10.0,406.0,15.0,2.0,8.0,4.0,32.0,26.0,9.0,1.0,13.0,8.0,9.0
5.0,33.0,12.0,43.0,15.0,20.0,46.0,32.0,0.0,13.0,30.0,45.0,42.0,43.0,17.0,386.0,10.0,3.0,11.0,5.0,35.0,30.0,12.0,0.0,8.0,9.0,11.0
4.0,33.0,9.0,45.0,11.0,24.0,51.0,40.0,2.0,13.0,14.0,52.0,59.0,42.0,14.0,454.0,11.0,3.0,6.0,10.0,42.0,31.0,8.0,2.0,24.0,5.0,9.0
6.0,34.0,10.0,40.0,12.0,21.0,44.0,33.0,0.0,14.0,20.0,48.0,54.0,46.0,13.0,447.0,22.0,1.0,4.0,6.0,49.0,36.0,12.0,0.0,19.0,3.0,6.0
1.0,33.0,14.0,43.0,15.0,18.0,60.0,27.0,3.0,16.0,21.0,34.0,54.0,52.0,19.0,429.0,20.0,1.0,3.0,5.0,31.0,28.0,13.0,1.0,15.0,10.0,9.0
2.0,32.0,8.0,51.0,15.0,16.0,41.0,33.0,0.0,13.0,35.0,45.0,54.0,50.0,20.0,453.0,17.0,2.0,2.0,7.0,32.0,47.0,12.0,0.0,13.0,9.0,10.0
4.0,45.0,13.0,44.0,11.0,16.0,54.0,21.0,3.0,5.0,35.0,46.0,56.0,43.0,20.0,479.0,18.0,2.0,2.0,3.0,48.0,48.0,17.0,1.0,14.0,7.0,4.0
3.0,34.0,15.0,35.0,14.0,25.0,44.0,33.0,0.0,13.0,28.0,54.0,52.0,52.0,10.0,498.0,18.0,1.0,7.0,7.0,33.0,39.0,8.0,0.0,10.0,5.0,6.0
4.0,35.0,12.0,52.0,14.0,19.0,59.0,32.0,1.0,13.0,26.0,41.0,55.0,54.0,11.0,465.0,25.0,2.0,2.0,7.0,36.0,50.0,15.0,0.0,14.0,8.0,3.0
4.0,30.0,19.0,31.0,15.0,25.0,59.0,48.0,1.0,11.0,26.0,56.0,57.0,50.0,11.0,497.0,32.0,6.0,6.0,11.0,43.0,36.0,12.0,1.0,14.0,6.0,5.0
7.0,35.0,8.0,52.0,9.0,26.0,65.0,35.0,2.0,12.0,18.0,51.0,50.0,56.0,15.0,551.0,29.0,5.0,7.0,9.0,30.0,32.0,11.0,0.0,14.0,3.0,6.0
5.0,41.0,6.0,36.0,17.0,28.0,54.0,27.0,0.0,17.0,24.0,38.0,42.0,43.0,15.0,534.0,26.0,2.0,5.0,7.0,39.0,46.0,13.0,1.0,8.0,6.0,10.0
6.0,32.0,6.0,42.0,12.0,15.0,51.0,37.0,2.0,15.0,20.0,42.0,52.0,45.0,8.0,494.0,27.0,3.0,1.0,9.0,35.0,40.0,16.0,0.0,16.0,4.0,8.0
3.0,30.0,8.0,38.0,13.0,21.0,74.0,33.0,3.0,15.0,30.0,47.0,55.0,34.0,12.0,495.0,30.0,2.0,2.0,6.0,34.0,39.0,10.0,0.0,9.0,3.0,12.0
5.0,27.0,7.0,33.0,15.0,21.0,52.0,42.0,1.0,12.0,20.0,53.0,51.0,71.0,8.0,533.0,30.0,1.0,4.0,10.0,33.0,48.0,13.0,2.0,14.0,9.0,14.0
5.0,22.0,7.0,46.0,15.0,16.0,61.0,33.0,2.0,8.0,17.0,47.0,52.0,57.0,10.0,552.0,30.0,1.0,4.0,2.0,42.0,40.0,8.0,3.0,11.0,7.0,14.0
6.0,25.0,13.0,40.0,13.0,22.0,57.0,28.0,1.0,12.0,16.0,43.0,61.0,48.0,16.0,485.0,25.0,0.0,3.0,1.0,33.0,33.0,17.0,2.0,16.0,7.0,13.0
5.0,31.0,14.0,36.0,10.0,13.0,47.0,41.0,1.0,23.0,26.0,34.0,65.0,60.0,12.0,478.0,34.0,4.0,3.0,10.0,40.0,46.0,14.0,0.0,10.0,10.0,5.0
4.0,29.0,12.0,50.0,9.0,14.0,49.0,27.0,3.0,10.0,15.0,49.0,46.0,34.0,15.0,503.0,34.0,2.0,4.0,9.0,33.0,37.0,6.0,1.0,17.0,9.0,9.0
6.0,35.0,13.0,50.0,18.0,17.0,54.0,31.0,1.0,11.0,15.0,41.0,39.0,44.0,9.0,526.0,33.0,5.0,3.0,6.0,41.0,26.0,9.0,0.0,12.0,7.0,5.0
6.0,30.0,5.0,41.0,15.0,23.0,38.0,32.0,2.0,16.0,13.0,45.0,59.0,44.0,9.0,518.0,21.0,3.0,3.0,5.0,39.0,30.0,6.0,0.0,16.0,10.0,5.0
2.0,29.0,9.0,46.0,13.0,20.0,35.0,27.0,2.0,19.0,15.0,34.0,49.0,39.0,14.0,499.0,30.0,5.0,5.0,2.0,31.0,25.0,13.0,0.0,7.0,6.0,8.0
3.0,22.0,5.0,38.0,9.0,15.0,57.0,37.0,3.0,15.0,14.0,32.0,46.0,47.0,10.0,487.0,33.0,2.0,4.0,9.0,35.0,34.0,16.0,0.0,12.0,4.0,12.0
